Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,PCA1,PCA2,Cluster
519,519,beets raw,58,0.2,0.028,0.032,0.067,13.0,9.2,2.2,3.8,0.0,0.1,119.1,0.0,0.0,0.096,0.1,0.0,0.077,0.5,0.2,0.026,6.7,0.0,0.064,0.079,21.8,0.1,1.1,31.3,0.4,54.4,442.0,0.096,19.395,-0.4183402860593912,-0.47781109584621045,1
520,520,drumstick pods raw,37,0.2,0.025,0.1,0.037,8.5,0.0,2.1,3.2,0.0,0.077,88.2,0.0,0.022,0.083,0.0,0.095,0.6,0.8,0.1,141.0,0.0,0.0,0.0,30.0,0.062,0.4,45.0,0.3,50.0,461.0,0.073,0.5,185.4,-0.059689534155780544,-0.6501182014682462,1
521,521,baby zucchini,2,0.089,0.02,0.047,0.006,0.3,0.0,0.3,0.1,0.0,0.041,10.2,0.0,0.06,0.035,0.0,0.092,0.063,0.052,0.009,3.8,0.0,0.0,0.0,2.3,0.019,0.098,3.6,0.035,10.2,50.5,0.057,0.084,6.89,-1.3420393045633079,0.11082602084138637,1
522,522,onion raw,16,0.048,0.077,0.091,0.007,3.7,1.7,0.4,0.7,0.0,0.065,35.6,0.0,0.0,0.047,0.054,0.0,0.043,0.074,0.063,0.098,3.0,0.0,0.029,0.08,9.2,0.011,0.014,4.0,0.072,11.6,58.4,0.092,4.955,-1.228968094016982,0.05162301955436923,1
523,523,romanesco cooked,39,0.4,0.028,0.077,0.2,7.7,0.0,3.7,4.0,0.0,0.3,109.2,0.0,0.039,0.085,0.0,0.1,0.8,0.8,0.3,88.6,0.0,0.0,0.0,39.0,0.081,0.9,23.2,0.3,69.5,339.2,0.067,0.8,144.3,-0.1765194350957336,-0.5635278522162329,1
524,524,butternut squash raw,90,0.2,0.044,0.046,0.019,23.4,4.4,2.0,4.0,0.0,0.067,172.8,0.0,0.0,0.2,0.016,0.0,0.048,2.4,0.8,0.3,42.0,0.0,2.9,0.075,96.0,0.1,1.4,68.0,0.4,66.0,704.0,0.024,30.078,-0.31489349854436893,-0.5867129152185905,1
525,525,amaranth leaves,6,0.075,0.072,0.033,0.025,1.1,0.0,0.7,0.0,0.0,0.071,25.7,0.0,0.046,0.029,0.0,0.042,0.2,0.039,0.009,12.1,0.0,0.0,0.3,60.2,0.052,0.6,15.4,0.2,14.0,171.1,0.058,0.3,74.73,-1.109739514969766,-0.02269192770713184,1
526,526,turnip greens raw,18,0.2,0.009,0.04,0.066,3.9,0.4,0.8,1.8,0.0,0.012,49.3,0.0,0.015,0.1,0.0,0.015,0.3,0.2,0.1,33.0,0.0,1.6,0.1,104.5,0.2,0.6,17.1,0.3,23.1,162.8,0.026,0.1,144.8,-0.8491106935106314,-0.18592272734013585,1
527,527,spaghetti squash raw,31,0.6,0.1,0.026,0.2,7.0,2.8,0.6,1.5,0.0,0.081,92.5,0.0,0.06,0.022,0.0,0.061,1.0,0.4,0.1,2.1,0.0,0.1,0.076,23.2,0.077,0.3,12.1,0.1,12.1,109.1,0.091,0.2,35.3,-0.848532746142726,-0.1423580438083826,1
528,528,seaweed dry,52,0.3,0.006,0.076,0.2,9.2,0.0,3.1,7.3,6.6,0.9,2.8,0.0,0.014,0.01,0.043,0.3,0.8,0.0,0.003,5.8,0.011,1.1,0.0,59.8,0.021,13.3,138.4,1.2,52.0,588.8,0.0,0.5,98.8,1.2963389342327438,-1.5256370244126352,1
529,529,yam cooked,158,0.2,0.061,0.018,0.059,37.4,0.7,2.0,5.3,0.0,0.017,95.4,0.0,0.0,0.1,0.035,0.0,0.088,0.8,0.4,0.3,16.5,0.0,0.5,0.083,19.0,0.2,0.7,24.5,0.5,66.6,911.2,0.006,45.477,0.11677059477698372,-0.46498166249728573,1
530,530,corn dried,119,3.0,0.6,1.1,1.3,18.8,6.0,4.1,5.8,0.0,0.029,1.8,0.0,0.095,0.048,0.0,0.011,2.3,0.4,0.3,0.0,0.0,0.1,0.0,7.1,0.014,0.7,42.2,0.3,97.4,219.3,0.053,0.9,39.5,0.6090421247898146,-0.6548373130412798,1
531,531,cucumber,23,0.2,0.068,0.044,0.041,5.4,2.5,1.0,0.8,0.0,0.061,142.8,0.0,0.064,0.08,0.0,0.066,0.1,0.4,0.046,4.2,0.0,0.049,0.038,24.0,0.065,0.4,19.5,0.1,36.0,220.5,0.082,0.3,36.0,-0.7908943141467705,-0.20597458436207464,1
532,532,arrowroot,78,0.2,0.094,0.083,0.1,16.1,0.0,5.1,1.6,0.0,0.052,96.9,0.0,0.2,0.4,0.0,0.06,2.0,0.4,0.3,2.3,0.0,0.0,0.0,7.2,0.1,2.7,30.0,0.2,117.6,544.8,0.061,0.8,35.2,0.10592252576899591,-0.5660125673463746,1
533,533,cardoon raw,30,0.2,0.072,0.05,0.054,7.2,0.0,1.2,2.8,0.0,0.3,167.3,0.0,0.0,0.064,0.1,0.0,0.098,0.5,0.6,0.2,3.6,0.0,0.0,0.0,124.6,0.4,1.2,74.8,0.5,40.9,712.0,0.058,12.0,-0.9002262332539884,-0.13571137818532014,1
534,534,bamboo shoots cooked,14,0.3,0.007,0.059,0.1,2.3,0.0,1.8,1.2,0.0,0.04,115.1,0.0,0.0,0.067,0.071,0.0,0.051,0.4,0.068,0.1,0.0,0.0,0.0,0.0,14.4,0.083,0.3,3.6,0.1,24.0,639.6,0.046,5.76,-1.1434889603513103,0.020817523116200002,1
